Symptoms,Disease
flushing of the skin wheezing fatigue hormonal symptoms like rapid heartbeat or sweating unexplained weight loss Abdominal pain diarrhea sometimes no symptoms in early stages nausea,Neuroendocrine Tumours (NETs)
unexplained weight loss diarrhea Abdominal pain,Neuroendocrine Tumours (NETs)
fatigue palpitations shortness of breath Irregular or rapid heartbeat,Atrial Fibrillation
double vision persistent sore throat Neck lump facial numbness nasal blockage hearing loss ear fullness headaches,Nasopharyngeal Cancer
fever vomiting nausea abdominal cramps signs of dehydration such as dry mouth or dizziness bloating,Gastroenteritis
abdominal or flank pain frequent urination Cloudy or gritty urine sometimes no symptoms unless crystals form stones burning sensation while urinating,Crystals in Urine
dental problems ankles Bone pain or tenderness muscle weakness soft or weak bones in children delayed growth thickened wrists,Rickets
rigid or harmful thinking patterns impulsive behaviour Long-standing patterns of thinking behaving that differ from cultural expectations emotional instability problems at work or social situations,Personality Disorder
feeling out of control rapid heartbeat Intense fear or anxiety triggered by a specific object sweating or activity trembling,Phobia
white or red patches jaw pain hoarseness difficulty chewing or swallowing Persistent mouth sores,Mouth Cancer
Sudden vision loss in one eye sudden difficulty focusing blurred or dim vision visual field loss seeing floaters or shadows eye pain in some cases,Eye Stroke
muscle or joint pain headaches swollen lymph nodes dizziness,Chronic Fatigue Syndrome (CFS)
ringing in ears (tinnitus) Difficulty hearing conversations,Hearing Loss
Abdominal pain wheezing unexplained weight loss diarrhea fatigue nausea hormonal symptoms like rapid heartbeat or sweating,Neuroendocrine Tumours (NETs)
nausea loss of appetite fever worsening pain with movement Sudden pain starting near the belly button,Appendicitis
swelling Joint pain symptoms worsening in the morning or after inactivity reduced range of motion warmth around joints fatigue,Arthritis
symptoms worsening at night temporary relief with movement difficulty sleeping,Restless Legs Syndrome
flushing of the skin wheezing hormonal symptoms like rapid heartbeat or sweating nausea fatigue diarrhea,Neuroendocrine Tumours (NETs)
Edwards syndrome (Trisomy 18) Patau syndrome (Trisomy 13) No specific symptoms; this is a routine screening process during pregnancy to check for chromosomal abnormalities such as Down syndrome (Trisomy 21),Prenatal Aneuploidy Screening (First Trimester)
or irritants Dry itchy skin flare-ups triggered by allergens red or inflamed patches,Atopic Eczema
mood changes Memory loss,Alzheimer’s Disease
numbness or tingling rapid heartbeat,Panic Disorder
difficulty thinking or problem-solving Memory loss,Dementia
headache white patches on tonsils absence of cough swollen lymph nodes Sudden severe sore throat red or swollen tonsils,Strep Throat
pelvic discomfort cloudy or foul-smelling urine,Urinary Tract Infection (UTI)
need for order or symmetry fear of contamination,Obsessive Compulsive Disorder (OCD)
Sudden severe joint pain commonly affecting the big toe warmth in the affected joint tenderness to touch,Gout
dizziness swelling in ankles or legs fainting spells bluish lips or skin Shortness of breath fatigue chest pain rapid heartbeat,Pulmonary Hypertension
watery diarrhea nausea low-grade fever Sudden onset vomiting body aches stomach cramps headache,Norovirus
cough unintentional weight loss or underlying conditions causing high eosinophil levels rash symptoms related to allergies abdominal pain infections Fatigue breathing difficulty fever,Eosinophilia
Shortness of breath reduced ability to exercise swelling in legs or ankles fainting chest pain,Cardiomyopathy
swollen testicles sore throat after oral sex,Gonorrhoea
metallic taste difficulty swallowing,Tonsil Stones
dizziness enlarged spleen numbness or tingling in hands red or flushed skin itching especially after a hot shower feet fatigue a feeling of fullness in the left upper abdomen,Polycythemia Vera
eye strain needing to sit closer to screens or books squinting to see far objects Blurred distance vision,Myopia (Nearsightedness)
hoarse voice weight loss persistent heartburn chronic cough food getting stuck in the throat Difficulty swallowing,Oesophageal Cancer
enlarged spleen causing discomfort after eating small amounts fatigue,Spleen Problems and Spleen Removal (Splenectomy)
feeling unrefreshed after sleep daytime fatigue waking too early irritability waking up frequently at night poor concentration,Insomnia
diarrhea unexplained weight loss,Neuroendocrine Tumours (NETs)
Often no symptoms dizziness sometimes nosebleeds but may include headaches fatigue chest discomfort shortness of breath blurred vision,High Blood Pressure (Hypertension)
fatigue sometimes coughing up blood chest tightness recurrent lung infections shortness of breath large amounts of mucus,Bronchiectasis
silvery-white flakes thickened nails flaky scales on the scalp causing itching or dandruff-like appearance Red itching cracked or dry skin that may bleed scaly patches on the skin burning sensation,Skin and Scalp Psoriasis
bloating mild abdominal pain Upper abdominal discomfort burning sensation in the stomach nausea belching gas,Indigestion
High fever fatigue,Dengue
stress thickened or cracked skin flare-ups triggered by allergens red or inflamed patches Dry itchy skin small bumps that may ooze or irritants,Atopic Eczema
abdominal pain weakness,Black Stools
hallucinations such as sensing a presence fear or panic,Sleep Paralysis
weakness reduced range of motion fatigue swelling Joint pain stiffness (especially in the morning) warmth around joints symmetrical joint involvement,Rheumatoid Arthritis
temporary difficulty moving the leg lingering soreness after the cramp,Leg Cramps
loss nail pitting or ridges Sudden patchy hair loss on the scalp or other body parts,Alopecia Areata
abdominal swelling irregular periods feeling full quickly in some cases a noticeable pelvic mass unexplained weight changes,Ovarian Cancer in Teenagers and Young Adults (Pre-Menopause)
fever thick gray or white coating on the throat or tonsils,Diphtheria
loss of balance sensitivity to touch burning or sharp pain in hands or feet Numbness in severe cases difficulty walking,Peripheral Neuropathy
muscle cramps enlarged calf muscles difficulty walking,Muscular Dystrophy
confusion about time or place mood changes Memory loss poor judgment difficulty planning or solving problems withdrawal from social activities trouble completing familiar tasks,Alzheimer’s Disease
blood in stool intermittent fever abdominal pain fatigue urgency to pass stool weight loss loss of appetite Chronic diarrhea,Inflammatory Bowel Disease (IBD)
in later stages damage to the heart or anus patchy hair loss nerves Painless sores on the genitals swollen lymph nodes fatigue fever mouth skin rashes on palms brain soles,Syphilis
or whole body depending on the cause rashes that may appear on the face dry or scaly skin,Skin Rashes in Children
swollen glands difficulty breathing Sore throat thick gray or white coating on the throat or tonsils,Diphtheria
discomfort spreading to arm shortness of breath or back Chest pain or pressure,Heart Disease
patchy hair loss fever soles fatigue in later stages damage to the heart skin rashes on palms or anus,Syphilis
bright red blood on toilet paper or stool Sharp pain during or after bowel movements,Anal Fissures
thickened skin in severe cases Facial redness,Rosacea
in severe cases weakness in the legs numbness or tingling Lower back pain muscle tightness,Spondylolisthesis
loss of appetite digestive problems such as bloating or indigestion pale stools Persistent upper abdominal or back pain dark urine nausea,Pancreatic Cancer
fatigue in some cases no noticeable symptoms frequent urination,Diabetes in Pregnancy
slight chest discomfort sneezing general respiratory uneasiness mild cough Mild breathing difficulty throat irritation,Upper Respiratory Tract Infection (URTI)
painful urination nausea abnormal vaginal discharge pain during intercourse Lower abdominal or pelvic pain,Pelvic Inflammatory Disease (PID)
neck fatigue dizziness shortness of breath Severe chest pain or pressure a feeling of impending doom pain spreading to arm nausea sweating jaw or back,Heart Attack
asymmetrical shape increasing size itching or dark streaks under nails bleeding New or changing moles multiple or uneven colours irregular borders,Skin Cancer (Melanoma)
numbness or tingling in legs or arms pain that worsens when standing or walking balance problems cramping in legs improves when bending forward muscle weakness Lower back or neck pain difficulty walking,Spinal Stenosis
